slug,name,category,description,author,created,last_modified,website,privileges,free,verification,supported_os,capabilities,installation_paths,pe_original_names,pe_filenames,vulnerabilities,references,source_file
247ithelp.com_(connectwise),247ithelp.com (ConnectWise),RMM,247ithelp.com (ConnectWise) is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2025-12-14,https://www.247ithelp.com/,,,,,,Remote Workforce Client.exe,,,,,247ithelp.com_(connectwise).yaml
absolute_(computrace),Absolute (Computrace),RMM,Absolute (Computrace) is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2024-08-02,https://www.absolute.com/,,,,,,rpcnet.exe | ctes.exe | ctespersitence.exe | cteshostsvc.exe | rpcld.exe,,,,https://community.absolute.com/s/article/Understanding-Absolutes-Endpoint-Agents-Rpcnet-CTES-and-search-namequery-com,absolute_(computrace).yaml
access_remote_pc,Access Remote PC,RMM,Access Remote PC is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2024-08-02,https://www.remotedesktop.com/,,True,True,Windows | Mac | Linux | Android | iOS,,C:\Program Files (x86)\RemotePC\*,,,,,access_remote_pc.yaml
acronis_cyber_protect_(remotix),Acronis Cyber Protect (Remotix),RMM,Acronis Cyber Protect (Remotix) is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2025-09-05,2025-09-05,https://www.acronis.com/en/products/cyber-protect-connect/,,,,Windows,,AcronisCyberProtectConnectQuickAssist*.exe | AcronisCyberProtectConnectAgent.exe,,,,https://kb.acronis.com/content/47189,acronis_cyber_protect_(remotix).yaml
action1,Action1,RMM,"Action1 is a powerful Remote Monitoring and Management(RMM) tool that enables users to execute commands, scripts, and binaries.
Through the web interface of action1, the administrator must create a new policy or an app to establish remote execution and then points that the agent is installed.",@kostastsale,2024-08-03,2024-08-03,https://www.action1.com/,SYSTEM,Yes,Corporate email required although temporary email services are accepted,Windows,Backup and disaster recovery | Billing and invoicing | Customer portal | HelpDesk and ticketing | Mobile app | Network discovery | Patch management | Remote monitoring and management | Reporting and analytics,C:\Windows\Action1\*,action1_agent.exe,action1_connector.exe | action1_remote.exe | action1_update.exe | action1_agent.exe,,https://www.action1.com/documentation/firewall-configuration/ | https://www.action1.com/documentation/ | https://twitter.com/Kostastsale/status/1646256901506605063?s=20 | https://ruler-project.github.io/ruler-project/RULER/remote/Action1/,action1.yaml
addigy,Addigy,RMM,Addigy is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2024-08-02,https://addigy.com/,,,,,,addigy-*.pkg,,,,https://addigy.com/,addigy.yaml
adobe_connect,Adobe Connect,RAT,Adobe Connect is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2024-08-02,https://www.adobe.com/products/adobeconnect.html,,,,,,ConnectAppSetup*.exe | ConnectShellSetup*.exe | Connect.exe | ConnectDetector.exe,,,,https://helpx.adobe.com/adobe-connect/firewall-proxy-server-configuration-adobe-connect.html,adobe_connect.yaml
aeroadmin,AeroAdmin,RMM,AeroAdmin is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2024-08-02,http://aeroadmin.com/,,,,,,aeroadmin.exe | AeroAdmin.exe,,,,https://support.aeroadmin.com/kb/faq.php?id=58,aeroadmin.yaml
aliwangwang-remote-control,AliWangWang-remote-control,RMM,AliWangWang-remote-control is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2024-08-02,https://wangwang.taobao.com/,,,,,,alitask.exe,,,,https://github.com/KKomarov/AliWangWangEng/blob/master/chs.locale,aliwangwang-remote-control.yaml
alpemix,Alpemix,RMM,Alpemix is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,Nasreddine Bencherchali,2024-08-05,2024-08-05,https://www.alpemix.com/en/Home,,,,Windows | Linux | Android | Mac | IOS,5 Different Solutions for Remote Support | Access to Unattended Computers | Access to User Account Control (UAC) Screens | Add Your Own Logo | Auto Sizing | Automatic Update | Clipboard Transfer | Computer Independent Licensing | Contact List and Groups | Encrypted Communication | External Communication Barrier | File Transfer | Instant Messaging | Multi-Platform Support | Multiple Chat | Multiple Connections | No Port Forwarding Required | Peer to Peer Connection (p2p) | Receiving Offline Message | Remote Restart | ReportingRestricting The Authority | Screen Sharing | Sending Announcement Message | Sharing a certain part of the screen | Video Recording | Voice Communication | Who is currently supporting? | Working in Black Screen Mode,C:\AlpemixService.exe | C:\AlpemixSrvc\,Alpemix,Alpemix.exe,,https://www.alpemix.com/en/remote-access,alpemix.yaml
ammyyadmin,Ammyy Admin,RMM,"Ammyy Admin is a remote monitoring and management (RMM) tool. Ammyy admin has been used by scammers to gain remote access to victims' computers. The tool is legitimate and is used by IT professionals for remote management. However, it has been abused by scammers to gain unauthorized access to victims' computers. The tool is free for personal use, but a license is required for commercial use. The tool allows for remote desktop control, file transfer, voice chat, and more. The tool is available for Windows only. will be added as it becomes available.",@kostsatsale,2024-05-08,2024-05-08,https://www.ammyy.com,Curent User,Yes/1 active session at a time,None,Windows,Remote Management session | RDP Connection | File Transfer | Voice Chat,C:\\ProgramData\\AMMYY\\* | AMMYY_Admin.exe | aa_v*.exe | C:\Users\*\Downloads\AMMYY_Admin.exe | *\AMMYY_Admin.exe,,AA_v3.exe,CVE-2013-5582,https://www.ammyy.com/en/admin_security.html | https://www.ammyy.com/en/admin_mu.html,ammyyadmin.yml
any_support,Any Support,RMM,Any Support is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2024-08-02,https://anysupport.net/,,,,Windows,,ManualLauncher.exe,,,,https://www.anysupport.net/introduce_howto.php,any_support.yaml
anydesk,AnyDesk,RMM,"AnyDesk is a popular remote desktop software that enables users to access
and control a computer or device from a remote location. It was developed with the
primary goal of facilitating remote work, technical support, and collaboration between
individuals and teams.","Ali Alwashali, Nasreddine Bencherchali",2023-09-29,2023-09-29,https://anydesk.com/en,User,True,False,Android | ChromeOS | IOS | Linux | Mac | Windows,File Transfer | File System Access | Remote Control | GUI Support | Command line Support,C:\Program Files (x86)\AnyDesk\* | C:\Program Files\AnyDesk\* | /Applications/AnyDesk.app,AnyDesk.exe,anydesk.exe,https://www.cvedetails.com/vulnerability-list/vendor_id-16953/product_id-40173/Anydesk-Anydesk.html,https://support.anydesk.com/knowledge/firewall | https://www.synacktiv.com/publications/legitimate-rats-a-comprehensive-forensic-analysis-of-the-usual-suspects.html | https://github.com/mthcht/awesome-lists/tree/79ced75eebe53bcabf1235b3c17eb11788875482/Lists/RMM/anydesk | https://ruler-project.github.io/ruler-project/RULER/remote/AnyDesk/,anydesk.yaml
anyplace_control,Anyplace Control,RMM,Anyplace Control is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2025-12-14,http://www.anyplace-control.com/,,,,Windows,,apc_host.exe,,,,http://www.anyplace-control.com/anyplace-control/help/faq.htm,anyplace_control.yaml
anyviewer,AnyViewer,RMM,AnyViewer is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,@kostastsale,2024-08-03,2024-08-03,https://www.anyviewer.com/,System,up to 10 devices,None,Windows,Remote desktop | Remote file transfer | Remote monitoring and management | Remote shell open,C:\Program Files (x86)\AnyViewer\*,AnyViewer | RCClient.exe,AnyViewer.exe | RCClient.exe | ScreanCap.exe | AVCore.exe | RCService.exe,,https://www.anyviewer.com/how-to/how-to-open-firewall-ports-for-remote-desktop-0427-gc.html | https://www.anyviewer.com/help/remote-technical-support.html,anyviewer.yaml
apple_remote_desktop,Apple Remote Desktop,RAT,Apple Remote Desktop is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2024-08-02,https://www.apple.com/remotedesktop/,,,,,,ARDAgent.app,,,,https://support.apple.com/guide/remote-desktop/install-and-set-up-remote-desktop-apdf49e03a4/mac,apple_remote_desktop.yaml
aspia,Aspia,RMM,"Aspia is an open-source Remote Desktop, file transfer and system information tool.",,2025-05-09,2025-12-14,https://aspia.org/,SYSTEM,,,Windows | MacOS | Linux,"Remote desktop management | Remote desktop view | File transfer | System information | Text chat | Task manager | Encryption | Authorization (it is possible to add users with different access rights) | Address book with encryption and master-password | NAT traversal with connection by ID (with using Aspia Router and Aspia Relay) | Direct connections | Audio support | Video recording | Client and Console for Windows, MacOSX and Linux | Host for Windows only | Router/Relay for Windows and Linux",*\aspia_client.exe | C:\Program Files\Aspia\ | C:\Program Files (x86)\Aspia\,aspia_client.exe,aspia_client.exe,,https://ics-cert.kaspersky.com/publications/reports/2025/06/05/ttps-of-cyber-partisans-activity-aimed-at-espionage-and-disruption/ | https://www.aspia.org/ | https://github.com/dchapyshev/aspia,aspia.yaml
atera,Atera,RMM,Atera is a remote monitoring and management (RMM) tool. It is used by threat actors to deploy ransomware or facilitate command execution and lateral movement.,,2024-08-03,2025-12-14,https://www.atera.com/,SYSTEM,30 day trial,None,Windows | MacOS | Linux,Integrated remote access with Splashtop and AnyDesk | Remote monitoring and management | Patch management | Network discovery | Backup and disaster recovery | Helpdesk and ticketing | Reporting and analytics | Billing and invoicing | Customer portal | Mobile app,*\AgentPackageNetworkDiscovery.exe | *\AgentPackageTaskScheduler.exe | *\ATERA Networks\AteraAgent\* | *\AteraAgent.exe | atera_agent.exe | atera_agent.exe | ateraagent.exe | C:\Program Files\ATERA Networks\AteraAgent\* | C:\Program Files\Atera Networks | C:\Program Files (x86)\Atera Networks | syncrosetup.exe,AteraAgent.exe,AteraAgent.exe,CVE-2023-26078 | CVE-2023-26077,https://support.atera.com/hc/en-us/articles/360015461139-Firewall-Settings-for-Atera-s-Integrations | https://support.atera.com/hc/en-us/articles/215955967-Troubleshoot-Atera-s-Windows-agent | https://support.atera.com/hc/en-us/articles/115015619747-Release-Notes-February-2018 | https://thedfirreport.com/?s=ateraagent,atera.yaml
auvik,Auvik,RMM,Auvik is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2024-08-02,https://www.auvik.com/,,,,,,auvik.engine.exe | auvik.agent.exe,,,,https://support.auvik.com/hc/en-us/articles/204315700-What-protocols-and-ports-does-the-Auvik-collector-use,auvik.yaml
aweray,AweRay,RMM,AweRay is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2025-12-14,https://awesun.aweray.com/en,,,,,,aweray_remote*.exe | AweSun.exe,,,,https://sun.aweray.com/help,aweray.yaml
baramundi,baramundi Management Suite,RMM,"baramundi Management Suite is a comprehensive Unified Endpoint Management (UEM) platform designed for automated endpoint management across Windows, macOS, iOS, Linux, and Android devices. It provides features for inventory and network discovery, endpoint security, patch management, mobile device management (MDM), IT automation, operating system deployment and configuration, remote access service, digital employee experience (DEX), and license management. The baramundi Management Agent (bma.exe) operates as a Windows service named BARAAGNT and is used for remote monitoring and management of enterprise systems. The suite is available for on-premises, hybrid, or fully hosted deployment. baramundi also offers the Proactive Hub, a cloud-based platform for proactive IT management.",@m_haggis,2025-10-28,2025-10-28,https://www.baramundi.com/en-us/,System,False,True,Windows | Linux | Mac | Android | IOS,Remote Management | Inventory and Network Discovery | Endpoint Security | Patch Management | Mobile Device Management | IT Automation | OS Deployment and Configuration | Remote Access Service | Digital Employee Experience | License Management | File Transfer | Software Distribution | Vulnerability Scanning,C:\Program Files\bsag\bma\* | C:\Program Files\bsag\* | C:\Program Files (x86)\bsag\bma\* | C:\Program Files (x86)\bsag\*,bma.exe,bma.exe,,https://www.baramundi.com/en-us/management-suite/ | https://www.baramundi.com/en-us/resources/demo-trial-version/ | https://www.herdprotect.com/bma.exe-fcf742c1a764b713f94e0e377e4e4089c1274dfc.aspx | https://docs.baramundi.com/ | https://www.virustotal.com/gui/file/465a46c2677345cadf578623c69755cefd45320bd5cc2094af11ba642a357026 | https://www.virustotal.com/gui/file/47d9dbd0296aa8321b3f7fd99cd40ffabc8d11c5bd7a1d08e2f9c0f7ce87a64a/details | https://www.virustotal.com/gui/file/c7b570d3c52f67cd557cb76f54fc7e329a7f4429b2eaf652e871389701e61e62/details | https://www.virustotal.com/gui/file/1bd486d84ae929a501f2488e95ef51dc4e28bdac645beac06277092487568093/details,baramundi.yaml
barracuda,Barracuda,RMM,Barracuda is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2024-08-02,https://www.barracuda.com/products/msp/network-protection/rmm,,,,,,,,,,https://help.islonline.com/19799/166125,barracuda.yaml
basecamp,Basecamp,RAT,Basecamp is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2024-08-02,https://basecamp.com/,,,,,,,,,,,basecamp.yaml
beamyourscreen,BeamYourScreen,RMM,BeamYourScreen is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2024-08-02,https://web.archive.org/web/20210304100510/https://www.beamyourscreen.com/,,,,,,beamyourscreen.exe | beamyourscreen-host.exe,,,,https://www.mikogo.com/,beamyourscreen.yaml
beanywhere,BeAnyWhere,RMM,BeAnyWhere is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2024-08-02,https://www.n-able.com/products/take-control,,,,,,basuptshelper.exe | basupsrvcupdate.exe | BASupApp.exe | BASupSysInf.exe | BASupAppSrvc.exe | TakeControl.exe | BASupAppElev.exe | basupsrvc.exe,,,,https://www.shouldiremoveit.com/beanywhere-support-service-40908-program.aspx,beanywhere.yaml
beinsync,BeInSync,RAT,BeInSync is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2024-08-02,,,,,,,Beinsync*.exe,,,,https://en.wikipedia.org/wiki/Phoenix_Technologies,beinsync.yaml
beyondtrust,BeyondTrust,RMM,BeyondTrust is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2025-12-14,,,,,,,,,,,,beyondtrust.yaml
beyondtrust_(bomgar),BeyondTrust (Bomgar),RMM,BeyondTrust (Bomgar) is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2024-08-02,https://www.beyondtrust.com/products/remote-support,,,,,,bomgar-scc-*.exe | bomgar-scc.exe | bomgar-pac-*.exe | bomgar-pac.exe | bomgar-rdp.exe,,,,https://www.beyondtrust.com/docs/remote-support/getting-started/deployment/cloud/network.htm,beyondtrust_(bomgar).yaml
