slug,name,event_id,provider_name,log_file,service_name,image_path,command_line,description
access_remote_pc,Access Remote PC,7045,Service Control Manager,System.evtx,RemotePC Performance Service,"""C:\\Program Files (x86)\\RemotePC\\RemotePCPerformance\\RPCPerformanceService.exe""",,Service installation event as result of RemotePC installation.
access_remote_pc,Access Remote PC,4688,Microsoft-Security-Auditing,Security.evtx,,,"sc  create RPCService start=auto binpath=""C:\\Program Files (x86)\\RemotePC\\RemotePCService.exe""",Executing command to install RemotePC service.
access_remote_pc,Access Remote PC,4688,Microsoft-Security-Auditing,Security.evtx,,,"C:\\Windows\\system32\\schtasks /create /SC DAILY /st 12:00 /TN ""RPCPerformanceHealthCheck"" /TR ""C:\\Program Files (x86)\\RemotePC\\RemotePCPerformance\\RPCPerformanceDownloader.exe"" /rl HIGHEST /ru system",Executing command to create RemotePC HealthCheck scheduled task.
access_remote_pc,Access Remote PC,4688,Microsoft-Security-Auditing,Security.evtx,,,C:\Windows\regedit.exe /s C:\Program Files (x86)\RemotePC\Register.reg,Executing command to install various registry changes related to RemotePC.
access_remote_pc,Access Remote PC,4688,Microsoft-Security-Auditing,Security.evtx,,,"netsh  advfirewall firewall add rule name=""RemotePCDesktop"" enable=yes dir=in action=allow profile=any program=""C:\Program Files (x86)\RemotePC\RemotePCDesktop.exe"" description=""This program is used for File Transfer and is part of RemotePC product.""",Executing command to add local firewall rule to allow inbound traffic for RemotePC.
action1,Action1,7045,Service Control Manager,System.evtx,A1Agent,"""C:\\Windows\\Action1\\action1_agent.exe""",,Service installation event as result of Action1 installation.
action1,Action1,4697,Microsoft-Security-Auditing,Security.evtx,A1Agent,,C:\Windows\Action1\action1_agent.exe service,Service installation event as result of Action1 installation.
action1,Action1,4688,Microsoft-Security-Auditing,Security.evtx,,,C:\Windows\Action1\action1_agent.exe loggedonuser,Executing command to get logged on user.
alpemix,Alpemix,7045,Service Control Manager,System.evtx,AlpemixSrvc,*\Alpemix.exe servicestartxxx,,Service installation event as result of Alpemix installation.
ammyyadmin,Ammyy Admin,4688,Microsoft-Security-Auditing,Security.evtx,,,"rundll32.exe ""C:\ProgramData\AMMYY\aa_nts.dll"",run",Execution of Ammyy Admin
ammyyadmin,Ammyy Admin,7045,Service Control Manager,System.evtx,Ammyy Admin,C:\*\AA_v3.exe,,Ammyy Admin service installation event
anydesk,AnyDesk,7045,Service Control Manager,System.evtx,AnyDesk Service,"""C:\\Program Files (x86)\\AnyDesk\\AnyDesk.exe"" --service",,Service installation event as result of AnyDesk installation.
anydesk,AnyDesk,4697,Microsoft-Security-Auditing,Security.evtx,AnyDesk Service,"""C:\\Program Files (x86)\\AnyDesk\\AnyDesk.exe"" --service",,Service installation event as result of AnyDesk installation.
