slug,name,domain,port,description
247ithelp.com_(connectwise),247ithelp.com (ConnectWise),*.247ithelp.com,,Known remote domains
absolute_(computrace),Absolute (Computrace),search.namequery.com,,Known remote domains
absolute_(computrace),Absolute (Computrace),*.search.namequery.com,,Known remote domains
absolute_(computrace),Absolute (Computrace),server.absolute.com,,Known remote domains
absolute_(computrace),Absolute (Computrace),*.server.absolute.com,,Known remote domains
acronis_cyber_protect_(remotix),Acronis Cyber Protect (Remotix),cloud.acronis.com,,Known remote domains
acronis_cyber_protect_(remotix),Acronis Cyber Protect (Remotix),agents*-cloud.acronis.com,,Known remote domains
acronis_cyber_protect_(remotix),Acronis Cyber Protect (Remotix),gw.remotix.com,,Known remote domains
acronis_cyber_protect_(remotix),Acronis Cyber Protect (Remotix),connect.acronis.com,,Known remote domains
action1,Action1,*.action1.com,443,N/A
action1,Action1,a1-backend-packages.s3.amazonaws.com,443,N/A
addigy,Addigy,prod.addigy.com,,Known remote domains
addigy,Addigy,grtmprod.addigy.com,,Known remote domains
addigy,Addigy,agents.addigy.com,,Known remote domains
adobe_connect,Adobe Connect,*.adobeconnect.com,443,Adobe Connect service domains.
adobe_connect,Adobe Connect,*.adobeconnect.com,3478,Adobe Connect service domains.
aeroadmin,AeroAdmin,auth*.aeroadmin.com,,Known remote domains
aeroadmin,AeroAdmin,aeroadmin.com,,Known remote domains
aliwangwang-remote-control,AliWangWang-remote-control,wangwang.taobao.com,,Known remote domains
alpemix,Alpemix,*.alpemix.com,443,N/A
alpemix,Alpemix,*.teknopars.com,80,N/A
ammyyadmin,Ammyy Admin,ammyy.com,5931,Known remote domains and router IP addresses
ammyyadmin,Ammyy Admin,ammyy.com,80,Known remote domains and router IP addresses
ammyyadmin,Ammyy Admin,ammyy.com,443,Known remote domains and router IP addresses
ammyyadmin,Ammyy Admin,ammyy.com,8080,Known remote domains and router IP addresses
ammyyadmin,Ammyy Admin,*.ammyy.com,5931,Known remote domains and router IP addresses
ammyyadmin,Ammyy Admin,*.ammyy.com,80,Known remote domains and router IP addresses
ammyyadmin,Ammyy Admin,*.ammyy.com,443,Known remote domains and router IP addresses
ammyyadmin,Ammyy Admin,*.ammyy.com,8080,Known remote domains and router IP addresses
ammyyadmin,Ammyy Admin,136.243.104.235,443,Known router IP addresses (TCP connections)
ammyyadmin,Ammyy Admin,136.243.104.242,443,Known router IP addresses (TCP connections)
ammyyadmin,Ammyy Admin,136.243.18.122,443,Known router IP addresses (TCP connections)
any_support,Any Support,*.anysupport.net,,Known remote domains
anydesk,AnyDesk,boot.net.anydesk.com,443,During setup the boot.net.anydesk.com domain is request over port 443
anydesk,AnyDesk,relay-[a-f0-9]{8}.net.anydesk.com:443,443,N/A
anydesk,AnyDesk,*.anydesk.com,443,N/A
anyplace_control,Anyplace Control,anyplace-control.com,,Known remote domains
anyviewer,AnyViewer,*.anyviewer.com,443,N/A
anyviewer,AnyViewer,*.aomeisoftware.com,443,N/A
apple_remote_desktop,Apple Remote Desktop,user_managed,,Known remote domains
aspia,Aspia,,,Aspia can be downloaded from the official github repository.
atera,Atera,pubsub.atera.com,,N/A
atera,Atera,agentreporting.atera.com,,N/A
atera,Atera,getalphacontrol.com,,N/A
atera,Atera,app.atera.com,,N/A
atera,Atera,agenthb.atera.com,,N/A
atera,Atera,packagesstore.blob.core.windows.net,,N/A
atera,Atera,agent-api.atera.com,,N/A
atera,Atera,agentreportingstore.blob.core.windows.net,,N/A
atera,Atera,atera-agent-heartbeat.servicebus.windows.net,,N/A
atera,Atera,ps.atera.com,,N/A
atera,Atera,atera.pubnubapi.com,,"Atera-specific PubNub tenant subdomain (CNAME api-tls11.pubnubapi.com) used by the AteraAgent for real-time tenant messaging. Distinct from the generic pubsub.pubnub.com / ps.pndsn.com PubNub multi-tenant infrastructure (shared by thousands of unrelated apps), this `atera.`-prefixed subdomain is reliable Atera-attribution signal."
atera,Atera,appcdn.atera.com,,N/A
auvik,Auvik,*.my.auvik.com,,Known remote domains
auvik,Auvik,*.auvik.com,,Known remote domains
auvik,Auvik,auvik.com,,Known remote domains
